Filename,std_sealed
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,19/12/2019
Sample name,std_sealed
Geometry name,60.0mm 0.996944° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
-0.148876,0.0782797,-1.90185,4.52719,19.99,-18.0381,-0.0255008,20.0255,-2943.69,4.52719,-8.41876,1.36206e-3
4.95967e-3,6.86100e-3,0.722879,11.1412,19.99,-17.9524,-0.0253796,20.0175,-381371,11.1412,0.280463,1.19381e-4
6.00778e-3,7.52910e-3,0.797942,18.5467,20.00,-18.9943,-0.0268526,20.0169,-335072,18.5467,0.339732,1.31006e-4
6.85204e-3,8.24291e-3,0.831264,25.9523,19.99,-18.6369,-0.0263474,20.0238,-274292,25.9523,0.387474,1.43426e-4
8.10873e-3,9.04010e-3,0.896973,33.2923,20.00,-19.4210,-0.0274558,20.0373,-237643,33.2923,0.458538,1.57297e-4
9.44313e-3,9.91659e-3,0.952255,40.6324,20.00,-19.8882,-0.0281163,20.0282,-202242,40.6324,0.533996,1.72548e-4
0.0107265,0.0108483,0.988771,47.9724,20.00,-19.3142,-0.0273049,20.0227,-164116,47.9724,0.606570,1.88760e-4
0.0124883,0.0118981,1.04961,55.3124,20.00,-20.1963,-0.0285519,20.0223,-142666,55.3124,0.706196,2.07026e-4
0.0139852,0.0130272,1.07354,62.7180,20.00,-20.1112,-0.0284315,20.0150,-118505,62.7180,0.790846,2.26672e-4
0.0159236,0.0143000,1.11354,70.1236,20.00,-20.5419,-0.0290404,20.0345,-100454,70.1236,0.900460,2.48819e-4
0.0180632,0.0156440,1.15464,77.4636,20.00,-20.4994,-0.0289804,20.0317,-83761.7,77.4636,1.02145,2.72205e-4
0.0201692,0.0171415,1.17663,84.8036,20.00,-20.9958,-0.0296822,20.0398,-71455.8,84.8036,1.14054,2.98261e-4
0.0226581,0.0187869,1.20606,92.1436,20.00,-21.6025,-0.0305398,20.0255,-61206.1,92.1436,1.28129,3.26891e-4
0.0254978,0.0205788,1.23903,99.4837,20.00,-21.0439,-0.0297501,20.0377,-49692.1,99.4837,1.44187,3.58070e-4
0.0284351,0.0225519,1.26087,106.889,20.00,-21.1881,-0.0299539,20.0323,-41660.4,106.889,1.60797,3.92403e-4
0.0317391,0.0247276,1.28355,114.295,20.00,-21.8762,-0.0309267,20.0287,-35777.3,114.295,1.79480,4.30259e-4
0.0352476,0.0270770,1.30176,121.635,20.00,-21.8443,-0.0308816,20.0244,-29794.6,121.635,1.99320,4.71138e-4
0.0393604,0.0296597,1.32706,128.975,20.00,-21.0885,-0.0298132,20.0351,-23972.4,128.975,2.22578,5.16078e-4
0.0436304,0.0324743,1.34354,136.315,20.00,-21.4921,-0.0303837,20.0257,-20379.8,136.315,2.46724,5.65051e-4
0.0481465,0.0355715,1.35351,143.655,20.00,-22.0907,-0.0312300,20.0191,-17458.4,143.655,2.72262,6.18943e-4
0.0536834,0.0389991,1.37653,151.061,20.00,-21.2366,-0.0300226,20.0207,-13962.9,151.061,3.03573,6.78583e-4
0.0592338,0.0427402,1.38590,158.466,20.00,-22.1646,-0.0313344,20.0195,-12133.5,158.466,3.34959,7.43678e-4
0.0654721,0.0468143,1.39855,165.806,20.00,-22.0253,-0.0311375,20.0239,-10050.0,165.806,3.70236,8.14567e-4
0.0723842,0.0512759,1.41166,173.146,20.00,-22.7232,-0.0321242,20.0234,-8642.58,173.146,4.09323,8.92199e-4
0.0797551,0.0561649,1.42002,180.486,20.00,-23.1089,-0.0326695,20.0176,-7325.72,180.486,4.51005,9.77267e-4
0.0881652,0.0614162,1.43554,187.826,20.00,-21.9938,-0.0310930,20.0289,-5830.87,187.826,4.98563,1.06864e-3
0.0972371,0.0673639,1.44346,195.232,20.00,-21.2265,-0.0300082,20.0304,-4677.61,195.232,5.49863,1.17213e-3
0.107245,0.0738197,1.45279,202.637,20.00,-22.2248,-0.0314195,20.0337,-4078.43,202.637,6.06454,1.28446e-3
0.118217,0.0808906,1.46144,209.977,20.00,-23.6259,-0.0334003,20.0204,-3610.70,209.977,6.68499,1.40749e-3
0.130151,0.0885731,1.46942,217.317,20.00,-21.8973,-0.0309566,20.0273,-2791.18,217.317,7.35987,1.54117e-3
0.143405,0.0970320,1.47792,224.657,20.00,-21.7559,-0.0307566,20.0324,-2310.71,224.657,8.10937,1.68835e-3
