Filename,esp_10
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,31/01/2020
Sample name,ESP_10
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
,Temperature ramp
,Sample
proceduresegments,Flow ramp#Temperature ramp
[step]
Temperature ramp - 2
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Modulus
Pa,1/s,Pa.s,s,°C,Pa,Pa
0.0262029,1.00651,,5.00000,20.19,78.4973,
0.0524601,0.998675,0.0145692,9.98400,20.72,80.5826,6.17423e-3
0.0547999,0.999899,0.0130881,14.9520,21.36,85.1210,4.66721e-3
0.115991,1.00557,0.0115020,19.9360,22.08,100.033,3.44065e-3
0.0483810,0.999881,0.0102037,24.9080,22.80,93.3978,2.60136e-3
1.42603,1.20354,9.22332e-3,29.8840,23.54,95.8608,2.01572e-3
0.0265923,1.00004,8.63283e-3,34.8520,24.26,97.1807,1.64020e-3
0.0193918,1.00015,8.38578e-3,39.8280,25.07,98.4575,1.36915e-3
0.0178070,1.00002,8.57834e-3,44.8080,25.76,103.485,1.24459e-3
0.0165871,0.996738,9.14811e-3,49.7800,26.46,103.531,1.18012e-3
0.0171224,1.00001,0.0101096,54.7560,27.14,105.047,1.17267e-3
0.0169586,1.00012,0.0114466,59.7280,27.82,105.407,1.14806e-3
0.0167506,0.999985,0.0127516,64.6960,28.50,103.212,1.13300e-3
0.0174469,0.999904,0.0142341,69.6840,29.22,104.103,1.12706e-3
0.0178126,1.00001,0.0156802,74.6480,29.89,105.953,1.12765e-3
0.0190006,0.999680,0.0171458,79.6280,30.53,106.546,1.13353e-3
0.0243408,0.999652,0.0188400,84.6080,31.19,106.946,1.15291e-3
0.0302506,0.998152,0.0207550,89.5760,31.83,108.614,1.18542e-3
0.215084,0.998347,0.0233291,94.5520,32.50,132.963,1.24856e-3
0.568942,0.983881,0.0263325,99.5400,33.14,159.980,1.32889e-3
1.25766,1.00362,0.0307732,104.512,33.88,205.671,1.46020e-3
1.08944,0.999083,0.0351072,109.484,34.52,171.326,1.58353e-3
0.411348,0.998922,0.0401647,114.460,35.17,170.127,1.72539e-3
0.464011,1.01565,0.0457554,119.428,35.83,167.688,1.87536e-3
0.223473,1.00913,0.0515719,124.408,36.49,141.715,2.02216e-3
0.510718,1.00046,0.0572048,129.384,37.13,193.893,2.15281e-3
0.351154,0.998663,0.0626527,134.352,37.80,168.827,2.26339e-3
0.581794,1.00009,0.0674220,139.328,38.52,223.055,2.33555e-3
0.458752,0.996514,0.0710477,144.312,39.18,194.147,2.37080e-3
0.276960,1.00002,0.0736522,149.276,39.84,157.662,2.37124e-3
0.813386,0.997318,0.0755523,154.260,40.48,289.185,2.35218e-3
1.00668,0.999686,0.0767397,159.228,41.13,339.128,2.31309e-3
0.182273,0.979209,0.0776623,164.200,41.78,151.277,2.26745e-3
0.250471,0.996611,0.0784989,169.176,42.52,216.192,2.21313e-3
0.258508,1.00177,0.0799307,174.160,43.17,221.534,2.18722e-3
0.440424,1.00155,0.0818560,179.132,43.82,328.105,2.17695e-3
0.368417,0.998324,0.0844406,184.100,44.45,324.448,2.18542e-3
0.0442744,0.996922,0.0878419,189.084,45.12,118.952,2.21063e-3
0.116892,0.999973,0.0920152,194.056,45.78,162.457,2.25436e-3
0.174755,0.995887,0.0969885,199.020,46.43,183.599,2.31602e-3
0.652029,0.999347,0.103732,204.008,47.15,400.290,2.41053e-3
0.601530,0.999450,0.111272,208.972,47.81,452.827,2.52265e-3
1.16620,0.998600,0.119855,213.960,48.45,686.321,2.65516e-3
0.335378,1.00701,0.130646,218.932,49.11,140.788,2.82787e-3
0.524134,0.999962,0.144412,223.908,49.78,244.057,3.05452e-3
0.862174,1.00318,0.159133,228.884,50.39,326.179,3.29760e-3
0.541988,0.988479,0.182052,233.856,51.14,246.527,3.68008e-3
1.03336,0.997232,0.205132,238.828,51.80,335.761,4.05956e-3
1.08461,1.00070,0.230216,243.804,52.43,373.121,4.46584e-3
1.82908,1.00120,0.258001,248.768,53.08,562.921,4.90622e-3
2.96785,1.00035,0.289041,253.748,53.75,682.400,5.38571e-3
1.41378,1.00611,0.319848,258.720,54.39,289.690,5.84684e-3
1.57205,0.997232,0.352565,263.708,55.05,494.959,6.32135e-3
2.24361,0.998715,0.390340,268.680,55.79,655.783,6.85169e-3
2.71532,1.00422,0.424531,273.656,56.44,491.836,7.31643e-3
2.71904,0.998456,0.459874,278.624,57.10,637.672,7.78410e-3
4.23388,1.00003,0.495762,283.604,57.75,749.238,8.24522e-3
2.38552,1.00151,0.530090,288.572,58.38,636.200,8.66916e-3
4.14892,0.999565,0.562818,293.556,59.03,905.047,9.04943e-3
4.65415,1.00004,0.594609,298.528,59.78,916.916,9.37907e-3
3.47467,0.998289,0.616109,303.504,60.43,1037.38,9.56049e-3
1.40048,1.00794,0.630369,308.480,61.06,398.069,9.62999e-3
2.62103,0.998588,0.639121,313.444,61.72,764.177,9.60867e-3
3.64721,0.999744,0.642619,318.420,62.37,961.197,9.51045e-3
3.42217,0.994703,0.642466,323.400,63.04,906.271,9.35883e-3
3.24197,0.997904,0.640497,328.372,63.70,777.567,9.18823e-3
4.49342,1.00139,0.636789,333.348,64.44,633.082,8.98020e-3
4.71155,0.999031,0.634836,338.320,65.05,689.923,8.82999e-3
5.46269,1.00166,0.632959,343.304,65.71,882.723,8.67657e-3
