Filename,esp_2
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,31/01/2020
Sample name,ESP_2
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
,Temperature ramp
,Sample
proceduresegments,Flow ramp#Temperature ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Modulus
Pa,1/s,Pa.s,s,°C,Pa,Pa
7.26090e-3,6.45388e-3,0.0787176,1.11759,25.07,11.8686,
6.80827e-4,6.99954e-3,0.0762258,3.53898,25.06,11.0049,0.0286018
7.41439e-4,7.75509e-3,0.0739957,5.83274,25.04,10.1115,0.0195122
7.91016e-4,8.53240e-3,0.0720089,8.06096,25.04,9.87103,0.0145498
8.36382e-4,9.37052e-3,0.0687019,10.3547,25.02,9.87760,0.0110628
8.93844e-4,0.0102772,0.0665271,12.6485,25.01,9.25041,8.92734e-3
9.13399e-4,0.0112243,0.0636291,14.8767,25.01,8.58011,7.50880e-3
9.57776e-4,0.0123033,0.0613107,17.1705,24.99,7.94228,6.44352e-3
1.00328e-3,0.0134833,0.0590769,19.4642,24.99,7.38537,5.65354e-3
1.06344e-3,0.0147404,0.0569244,21.6924,24.99,6.98840,5.05806e-3
1.14727e-3,0.0161657,0.0548503,23.9862,24.98,6.87464,4.57348e-3
1.18642e-3,0.0177102,0.0528518,26.2800,24.97,5.91382,4.17075e-3
1.26068e-3,0.0193608,0.0503000,28.5082,24.98,5.67478,3.81108e-3
1.30944e-3,0.0212207,0.0472828,30.8020,24.98,4.94757,3.46094e-3
1.33889e-3,0.0232738,0.0446670,33.0957,24.97,4.23212,3.14337e-3
1.37678e-3,0.0254349,0.0417804,35.3239,24.97,4.24577,2.86346e-3
1.39332e-3,0.0278804,0.0388874,37.6177,24.97,2.89623,2.59748e-3
1.44356e-3,0.0305745,0.0361053,39.9115,24.97,2.88199,2.35131e-3
1.46376e-3,0.0334343,0.0333567,42.1397,24.98,3.00945,2.12297e-3
1.46306e-3,0.0366294,0.0304385,44.4334,24.97,2.11850,1.91144e-3
1.44347e-3,0.0401397,0.0280518,46.7272,24.98,1.88710,1.71889e-3
1.43710e-3,0.0438940,0.0259163,48.9554,24.98,0.774743,1.55154e-3
1.46837e-3,0.0480992,0.0240622,51.2492,24.97,-0.189184,1.40530e-3
1.48625e-3,0.0526911,0.0225071,53.5429,24.99,-0.742998,1.28576e-3
1.51841e-3,0.0575055,0.0225629,55.7712,24.98,-0.222693,1.18620e-3
1.55933e-3,0.0630621,0.0209487,58.0649,24.99,-1.42967,1.08647e-3
1.58311e-3,0.0690790,0.0196434,60.3587,24.98,-2.15931,9.98599e-4
1.58392e-3,0.0757791,0.0181930,62.6524,24.98,-1.89964,9.15490e-4
1.61443e-3,0.0830403,0.0168914,64.9462,24.99,-2.89802,8.43514e-4
1.62865e-3,0.0908517,0.0157218,67.1744,24.98,-2.84945,7.77541e-4
1.70124e-3,0.0994632,0.0147058,69.4682,24.99,-2.70839,7.19607e-4
1.71210e-3,0.109010,0.0138922,71.7620,24.99,-3.67340,6.69966e-4
1.74555e-3,0.119311,0.0130913,73.9902,24.98,-4.45243,6.27588e-4
1.83504e-3,0.130811,0.0122452,76.2839,24.99,-5.44122,5.83646e-4
1.89878e-3,0.143118,0.0115678,78.5777,24.98,-5.56447,5.44219e-4
1.91552e-3,0.156603,0.0109009,80.8059,24.99,-6.21763,5.12486e-4
1.93227e-3,0.171922,0.0102724,83.0997,24.99,-7.29903,4.77905e-4
2.07267e-3,0.188064,9.61000e-3,85.3934,24.99,-7.19903,4.46587e-4
2.09279e-3,0.205937,9.05000e-3,87.6217,24.99,-7.73203,4.16732e-4
2.15471e-3,0.225486,8.54000e-3,89.9154,24.99,-8.21407,3.91916e-4
2.16703e-3,0.247090,8.55000e-3,92.2092,24.99,-8.20900,3.66672e-4
2.26967e-3,0.270137,8.06000e-3,94.4374,25.00,-8.58820,3.45706e-4
2.37255e-3,0.296134,7.60000e-3,96.7312,24.99,-9.44646,3.27184e-4
2.47316e-3,0.324520,7.28000e-3,99.0249,24.99,-9.17422,3.12773e-4
2.60931e-3,0.355088,6.97000e-3,101.253,25.00,-9.17470,3.00513e-4
2.75435e-3,0.388559,6.71000e-3,103.547,24.99,-9.88854,2.85951e-4
2.94859e-3,0.426173,6.42000e-3,105.841,25.00,-10.4940,2.72251e-4
2.92927e-3,0.466200,6.14000e-3,108.069,24.99,-11.2058,2.60057e-4
3.08038e-3,0.510661,5.87000e-3,110.363,24.99,-11.3608,2.47148e-4
3.28235e-3,0.559841,5.57000e-3,112.656,24.99,-11.2159,2.32930e-4
3.38165e-3,0.611984,5.29000e-3,114.885,25.00,-11.5315,2.23232e-4
3.47970e-3,0.670844,5.07000e-3,117.178,25.00,-12.8927,2.11768e-4
3.73496e-3,0.734838,4.87000e-3,119.472,24.99,-11.5408,2.00473e-4
3.75171e-3,0.803537,4.62000e-3,121.700,25.00,-13.5163,1.90680e-4
3.94825e-3,0.880666,4.39000e-3,123.994,24.99,-13.7965,1.82999e-4
4.14715e-3,0.965362,4.23000e-3,126.288,24.99,-14.0360,1.74396e-4
4.48630e-3,1.05486,4.04000e-3,128.516,25.00,-14.3379,1.68641e-4
4.64272e-3,1.15713,3.92000e-3,130.810,24.99,-14.8459,1.63614e-4
4.99433e-3,1.26766,3.82000e-3,133.104,24.99,-15.1984,1.58273e-4
5.37155e-3,1.38516,3.67000e-3,135.332,24.99,-15.6328,1.53275e-4
5.54690e-3,1.51919,3.57000e-3,137.626,24.99,-16.4472,1.49909e-4
6.01437e-3,1.66440,3.51000e-3,139.919,25.00,-16.5013,1.45930e-4
6.56786e-3,1.81983,3.42000e-3,142.148,24.99,-17.0148,1.41654e-4
6.88733e-3,1.99447,3.32000e-3,144.441,24.99,-17.8930,1.38507e-4
7.29574e-3,2.18617,3.23000e-3,146.735,24.99,-18.3554,1.35059e-4
7.82172e-3,2.38912,3.17000e-3,148.963,24.99,-17.9340,1.31022e-4
8.36899e-3,2.61887,3.09000e-3,151.257,25.00,-18.3188,1.27269e-4
8.87976e-3,2.87092,3.01000e-3,153.551,25.00,-18.3386,1.23994e-4
9.39747e-3,3.13740,2.92000e-3,155.779,24.99,-19.2932,1.20755e-4
0.0101063,3.43925,2.87000e-3,158.073,24.99,-18.9782,1.17381e-4
0.0107784,3.76969,2.77000e-3,160.367,24.99,-20.6044,1.14449e-4
0.0114579,4.12043,2.71000e-3,162.595,24.99,-20.3905,1.11958e-4
0.0123396,4.51592,2.66000e-3,164.889,24.99,-21.3459,1.09262e-4
0.0132504,4.95026,2.60000e-3,167.182,24.99,-20.4044,1.06530e-4
0.0141030,5.41020,2.54000e-3,169.411,24.99,-21.2785,1.03864e-4
0.0149746,5.93069,2.46000e-3,171.704,25.00,-22.3489,1.01073e-4
0.0158781,6.49967,2.41000e-3,173.998,24.99,-22.8582,9.84300e-5
0.0169823,7.10506,2.34000e-3,176.226,25.00,-23.2055,9.60718e-5
0.0182953,7.78753,2.30000e-3,178.520,24.99,-22.5523,9.40160e-5
0.0196586,8.53488,2.24000e-3,180.814,24.99,-22.4247,9.26299e-5
0.0212249,9.35481,2.23000e-3,183.108,25.00,-22.4183,9.18305e-5
0.0232735,10.2525,2.19000e-3,185.401,24.99,-23.3369,9.16234e-5
0.0256657,11.2077,2.20000e-3,187.630,25.00,-23.6251,9.21085e-5
0.0285340,12.2839,2.22000e-3,189.923,24.99,-22.5295,9.29443e-5
0.0318722,13.4631,2.23000e-3,192.217,24.99,-22.2895,9.35612e-5
0.0349208,14.7173,2.24000e-3,194.445,24.99,-23.2147,9.36097e-5
0.0378427,16.1308,2.25000e-3,196.739,24.99,-23.4296,9.30089e-5
0.0406071,17.6791,2.23000e-3,199.033,24.99,-24.3315,9.14853e-5
0.0434851,19.3262,2.19000e-3,201.261,24.99,-23.9194,8.96668e-5
0.0462334,21.1821,2.15000e-3,203.555,24.99,-24.1905,8.79998e-5
0.0497048,23.2151,2.12000e-3,205.849,25.00,-25.2241,8.69618e-5
0.0542851,25.3775,2.09000e-3,208.077,25.00,-25.2549,8.63373e-5
0.0602483,27.8152,2.09000e-3,210.371,24.99,-24.7278,8.59393e-5
0.0661377,30.4848,2.07000e-3,212.664,25.00,-24.6896,8.54020e-5
0.0710824,33.3246,2.05000e-3,214.893,24.99,-25.0173,8.48084e-5
0.0758283,36.5257,2.04000e-3,217.186,24.99,-25.4466,8.41645e-5
0.0825994,40.0308,2.03000e-3,219.480,24.99,-25.0040,8.32758e-5
0.0913253,43.7597,2.01000e-3,221.708,24.99,-24.3189,8.23834e-5
0.0987213,47.9636,1.98000e-3,224.002,24.99,-25.4733,8.20139e-5
0.106177,52.5666,1.98000e-3,226.296,25.00,-25.9370,8.15949e-5
0.116692,57.4628,1.97000e-3,228.524,24.99,-25.2243,8.07968e-5
