Filename,peo_su8_00_050
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,12/12/2019
Sample name,OSKT 050_PEO_SU8
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
3.34516,5.90810e-3,575.091,5.28485,19.98,123.765,0.174968,20.0342,3545690,5.28485,189.164,1.02801e-4
4.94661,7.45118e-3,604.204,10.5513,19.98,119.855,0.169441,20.0263,2158760,10.5513,279.724,1.29650e-4
5.22133,8.24352e-3,578.744,17.5637,19.98,116.944,0.165326,20.0314,1720890,17.5637,295.259,1.43437e-4
5.18476,9.23319e-3,553.618,24.5760,19.98,110.608,0.156369,20.0259,1297430,24.5760,293.191,1.60657e-4
5.12722,0.0103160,497.937,31.5228,19.98,110.689,0.156484,20.0297,1040130,31.5228,289.938,1.79497e-4
5.08373,0.0115334,443.081,38.4697,19.99,106.605,0.150709,20.0142,801428,38.4697,287.478,2.00680e-4
5.06763,0.0129169,394.321,45.4820,19.99,103.914,0.146904,20.0188,622814,45.4820,286.568,2.24753e-4
5.08723,0.0144718,351.760,52.4944,19.99,104.250,0.147380,20.0092,497776,52.4944,287.676,2.51808e-4
5.10129,0.0161916,315.089,59.4412,19.99,100.863,0.142592,20.0085,384727,59.4412,288.471,2.81734e-4
5.11290,0.0181128,282.886,66.3880,19.99,100.395,0.141930,20.0130,306014,66.3880,289.128,3.15162e-4
5.14010,0.0202839,253.910,73.4004,20.00,97.0849,0.137251,20.0135,235965,73.4004,290.666,3.52939e-4
5.17893,0.0227253,228.282,80.4127,19.99,97.0980,0.137269,20.0190,188014,80.4127,292.861,3.95420e-4
5.21927,0.0254109,206.158,87.3595,20.00,95.6023,0.135155,20.0248,148057,87.3595,295.142,4.42149e-4
5.28773,0.0284309,186.152,94.3063,20.00,92.5071,0.130779,20.0272,114444,94.3063,299.014,4.94697e-4
5.37031,0.0318048,168.205,101.253,20.00,94.5338,0.133644,20.0339,93455.1,101.253,303.684,5.53402e-4
5.41035,0.0356148,152.189,108.266,20.00,90.2008,0.127518,20.0241,71113.1,108.266,305.948,6.19696e-4
5.46619,0.0398845,138.092,115.278,20.00,91.9468,0.129987,20.0296,57800.0,115.278,309.106,6.93989e-4
5.57048,0.0446185,125.385,122.225,20.00,89.4263,0.126423,20.0192,44919.5,122.225,315.003,7.76361e-4
5.72650,0.0499210,113.737,129.171,20.00,89.7019,0.126813,20.0324,35994.4,129.171,323.826,8.68624e-4
5.80945,0.0559144,102.997,136.184,20.00,89.1734,0.126066,20.0242,28522.6,136.184,328.516,9.72908e-4
5.82704,0.0625330,93.4779,143.196,20.00,86.9876,0.122976,20.0340,22245.3,143.196,329.512,1.08807e-3
5.86452,0.0699636,84.6802,150.143,20.00,87.9098,0.124280,20.0263,17959.4,150.143,331.631,1.21736e-3
6.00303,0.0782652,76.6682,157.090,20.00,84.3923,0.119307,20.0326,13777.3,157.090,339.464,1.36181e-3
6.12508,0.0876009,69.4890,164.037,20.00,85.3826,0.120707,20.0203,11126.3,164.037,346.365,1.52425e-3
6.19272,0.0980929,62.8787,171.049,20.00,83.8318,0.118514,20.0161,8712.31,171.049,350.190,1.70681e-3
6.26144,0.109898,56.6555,178.061,20.00,82.4102,0.116505,20.0289,6823.38,178.061,354.076,1.91223e-3
6.26154,0.122923,50.8414,185.008,20.00,81.6444,0.115422,20.0133,5403.29,185.008,354.082,2.13886e-3
6.29096,0.137546,45.5799,191.955,20.00,77.3279,0.109320,20.0200,4087.34,191.955,355.745,2.39329e-3
6.24177,0.154042,40.9013,198.967,20.00,74.6444,0.105526,20.0302,3145.70,198.967,352.964,2.68033e-3
6.29117,0.172529,36.5215,205.980,20.00,71.5473,0.101148,20.0270,2403.64,205.980,355.758,3.00199e-3
6.41868,0.193019,32.6062,212.926,20.00,69.0129,0.0975646,20.0272,1852.39,212.926,362.968,3.35852e-3
6.26359,0.215944,29.2767,219.873,20.00,67.6454,0.0956314,20.0217,1450.62,219.873,354.198,3.75742e-3
6.25445,0.241840,26.2197,226.886,20.00,61.7200,0.0872546,20.0284,1055.28,226.886,353.681,4.20801e-3
6.38458,0.270843,23.4744,233.898,20.00,62.7400,0.0886965,20.0327,855.280,233.898,361.040,4.71266e-3
6.38543,0.303025,21.1859,240.845,20.00,57.4483,0.0812156,20.0251,625.634,240.845,361.088,5.27262e-3
6.50294,0.338980,18.9811,247.792,20.00,58.0952,0.0821301,20.0317,505.583,247.792,367.733,5.89824e-3
6.57581,0.379251,16.8932,254.738,20.00,57.1608,0.0808092,20.0242,397.415,254.738,371.853,6.59896e-3
6.32562,0.424762,15.0013,261.751,20.00,53.8788,0.0761693,20.0311,298.625,261.751,357.706,7.39084e-3
6.24827,0.475624,13.3173,268.763,20.00,54.7506,0.0774019,20.0371,242.026,268.763,353.331,8.27583e-3
6.21548,0.532114,11.8298,275.710,20.00,50.4269,0.0712894,20.0339,178.096,275.710,351.477,9.25876e-3
6.31275,0.595300,10.5995,282.657,20.00,52.3282,0.0739773,20.0300,147.661,282.657,356.978,0.0103582
6.37306,0.666677,9.55801,289.669,20.00,49.6764,0.0702283,20.0273,111.768,289.669,360.388,0.0116001
6.40324,0.746625,8.62331,296.681,20.00,50.6144,0.0715544,20.0237,90.7965,296.681,362.095,0.0129912
6.56102,0.835246,7.77361,303.628,19.99,51.8230,0.0732630,20.0193,74.2837,303.628,371.017,0.0145332
6.54359,0.934357,7.00938,310.575,20.00,50.0696,0.0707842,20.0221,57.3520,310.575,370.032,0.0162578
6.58641,1.04649,6.30255,317.587,20.00,51.9624,0.0734601,20.0272,47.4478,317.587,372.453,0.0182089
6.65632,1.17190,5.63462,324.600,20.00,48.6153,0.0687282,20.0297,35.3992,324.600,376.406,0.0203910
6.63113,1.31103,5.06512,331.547,20.00,50.9651,0.0720502,20.0298,29.6517,331.547,374.982,0.0228118
6.59865,1.46665,4.54550,338.493,20.00,49.6525,0.0701945,20.0295,23.0829,338.493,373.145,0.0255196
6.73082,1.64081,4.02939,345.440,20.00,48.4540,0.0685002,20.0209,17.9976,345.440,380.619,0.0285500
6.71745,1.83751,3.54425,352.453,20.00,48.0980,0.0679970,20.0054,14.2451,352.453,379.863,0.0319727
6.38407,2.05786,3.08757,359.465,20.00,40.8526,0.0577540,20.0139,9.64695,359.465,361.011,0.0358066
6.15109,2.30205,2.67074,366.412,20.00,40.8792,0.0577917,20.0254,7.71390,366.412,347.836,0.0400555
5.83858,2.57539,2.30127,373.359,20.00,36.4507,0.0515309,20.0318,5.49565,373.359,330.164,0.0448117
5.70355,2.88420,1.97717,380.371,20.00,34.7308,0.0490995,20.0229,4.17508,380.371,322.528,0.0501849
5.58641,3.22990,1.70840,387.383,20.00,33.4048,0.0472249,20.0212,3.20207,387.383,315.904,0.0562002
5.27016,3.61325,1.48986,394.330,20.00,28.8403,0.0407721,20.0369,2.20904,394.330,298.021,0.0628705
5.22212,4.04231,1.30765,401.277,20.00,30.5830,0.0432356,20.0210,1.87163,401.277,295.304,0.0703361
5.15662,4.52218,1.16085,408.224,20.00,24.2762,0.0343197,20.0161,1.18709,408.224,291.600,0.0786858
