Filename,peo_su8_01_000_0,,,,,,,,,,
Instrument name,5333-0457,,,,,,,,,,
Operator,Osamu Katagiri,,,,,,,,,,
rundate,28/01/2020,,,,,,,,,,
Sample name,PEO_SU8_01_000,,,,,,,,,,
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel ,,,,,,,,,
Procedure name,Sample,,,,,,,,,,
,Flow ramp,,,,,,,,,,
proceduresegments,Flow ramp,,,,,,,,,,
[step],,,,,,,,,,,
Flow ramp - 1,,,,,,,,,,,
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
3.23E-04,6.45E-03,0.0500038,3.79878,19.98,-68.9667,-0.0974994,20.024,-1656370,3.79878,0.0182459,1.12E-04
5.43E-04,7.10E-03,0.0825904,11.1412,19.98,-69.3637,-0.0980606,20.0306,-1374860,11.1412,0.0307059,1.24E-04
6.55E-04,7.79E-03,0.0830489,18.5467,19.98,-69.1408,-0.0977455,20.0249,-1138220,18.5467,0.0370433,1.36E-04
7.47E-04,8.54E-03,0.0827755,25.9523,19.99,-69.6596,-0.0984789,20.0333,-954542,25.9523,0.0422514,1.49E-04
7.66E-04,9.35E-03,0.0817846,33.2923,19.99,-68.226,-0.0964522,20.0229,-780169,33.2923,0.0433185,1.63E-04
8.11E-04,0.0102411,0.0803982,40.6324,19.99,-68.4213,-0.0967283,20.0181,-652370,40.6324,0.0458819,1.78E-04
8.74E-04,0.0112127,0.0785178,47.9724,19.99,-70.501,-0.0996684,20.0186,-560757,47.9724,0.0494286,1.95E-04
1.05E-03,0.0122722,0.0764514,55.3124,20,-69.6391,-0.0984499,20.0091,-462388,55.3124,0.0591113,2.14E-04
1.15E-03,0.0134686,0.0741237,62.718,20,-69.9757,-0.0989258,20.0062,-385745,62.718,0.0648464,2.34E-04
1.17E-03,0.0147498,0.0717125,70.1236,20,-69.7482,-0.0986041,20.0181,-320596,70.1236,0.0660434,2.57E-04
1.20E-03,0.0162352,0.0691961,77.4243,20,-69.3326,-0.0980167,20.0033,-263040,77.4243,0.0681065,2.82E-04
1.25E-03,0.0176489,0.0680076,84.8036,20,-70.3541,-0.0994608,20.0101,-225869,84.8036,0.0705381,3.07E-04
1.29E-03,0.0193645,0.0660359,92.1436,20,-70.8858,-0.100213,20.0196,-189037,92.1436,0.0732137,3.37E-04
1.39E-03,0.0212167,0.0642465,99.4837,20,-70.3007,-0.0993853,20.0285,-156172,99.4837,0.078705,3.69E-04
1.39E-03,0.0232633,0.0622657,106.889,20,-69.96,-0.0989037,20.0279,-129273,106.889,0.0784571,4.05E-04
1.42E-03,0.0254591,0.0604154,114.295,20,-70.8165,-0.100114,20.0324,-109257,114.295,0.0804194,4.43E-04
1.60E-03,0.027908,0.057842,121.635,20,-69.9389,-0.0988738,20.025,-89796.7,121.635,0.0905135,4.86E-04
1.62E-03,0.0305468,0.055054,128.975,20,-70.6755,-0.0999151,20.0276,-75742.2,128.975,0.0917474,5.32E-04
1.69E-03,0.0334636,0.0525474,136.315,20,-70.7229,-0.0999821,20.0342,-63156.2,136.315,0.0954471,5.82E-04
1.81E-03,0.0366255,0.0504185,143.655,20,-70.5726,-0.0997697,20.024,-52610.1,143.655,0.102095,6.37E-04
2.10E-03,0.0401303,0.0486446,151.061,20,-71.1806,-0.100629,20.0371,-44199.5,151.061,0.118576,6.98E-04
2.14E-03,0.0439988,0.0470147,158.466,20,-70.7949,-0.100084,20.029,-36569.5,158.466,0.120976,7.66E-04
2.51E-03,0.0481634,0.045502,165.806,20,-71.0299,-0.100416,20.0171,-30620.2,165.806,0.141697,8.38E-04
2.40E-03,0.0527765,0.0438709,173.146,20,-70.5284,-0.0997071,20.017,-25321.1,173.146,0.135841,9.18E-04
2.56E-03,0.057693,0.0425866,180.486,20,-70.7213,-0.0999799,20.0093,-21247.3,180.486,0.144853,1.00E-03
2.17E-03,0.0631901,0.0414888,187.826,20,-71.3197,-0.100826,20.0188,-17861.2,187.826,0.122683,1.10E-03
2.29E-03,0.0692189,0.0403304,195.232,20,-70.968,-0.100329,20.0238,-14812,195.232,0.129632,1.20E-03
2.67E-03,0.0758719,0.0393356,202.637,20,-71.3224,-0.10083,20.0305,-12389.8,202.637,0.150989,1.32E-03
2.98E-03,0.0830897,0.0384575,209.977,20,-71.3848,-0.100918,20.0273,-10339.8,209.977,0.168533,1.45E-03
3.44E-03,0.0910346,0.0373018,217.317,20,-71.3602,-0.100883,20.028,-8610.79,217.317,0.194449,1.58E-03
3.71E-03,0.0996434,0.0359877,224.657,20,-71.2312,-0.100701,20.0308,-7174.2,224.657,0.209901,1.73E-03
3.90E-03,0.109146,0.0348866,231.997,20,-71.4657,-0.101032,20.0213,-5999.09,231.997,0.220662,1.90E-03
3.93E-03,0.119628,0.0336865,239.403,20,-71.2706,-0.100756,20.0358,-4980.15,239.403,0.222433,2.08E-03
4.39E-03,0.131096,0.0326842,246.809,20,-71.202,-0.100659,20.0246,-4142.96,246.809,0.248067,2.28E-03
4.88E-03,0.143572,0.0320559,254.149,20,-71.0369,-0.100426,20.0307,-3446.25,254.149,0.276129,2.50E-03
5.27E-03,0.157195,0.0316415,261.489,20,-71.4082,-0.100951,20.0216,-2889.82,261.489,0.298114,2.74E-03
5.72E-03,0.172235,0.0311038,268.829,20,-71.6574,-0.101303,20.0309,-2415.57,268.829,0.323314,3.00E-03
6.19E-03,0.188474,0.0302491,276.169,20,-71.9113,-0.101662,20.0179,-2024.4,276.169,0.349906,3.28E-03
5.71E-03,0.206738,0.0291848,283.574,20,-72.1205,-0.101958,20.014,-1687.4,283.574,0.32314,3.60E-03
5.96E-03,0.226445,0.0280471,290.98,20,-71.799,-0.101504,20.0188,-1400.21,290.98,0.337174,3.94E-03
6.68E-03,0.247888,0.0269369,298.32,20,-72.0463,-0.101853,20.0137,-1172.46,298.32,0.377898,4.31E-03
7.29E-03,0.271609,0.0258909,305.66,20,-72.4376,-0.102406,20.0046,-981.921,305.66,0.412352,4.73E-03
7.64E-03,0.297374,0.0250115,313,20,-71.7719,-0.101465,20.0067,-811.612,313,0.432232,5.17E-03
9.99E-03,0.325576,0.0241051,320.34,20,-72.092,-0.101918,20.0139,-680.114,320.34,0.56468,5.67E-03
9.55E-03,0.356826,0.0232015,327.746,20,-72.219,-0.102097,20.0184,-567.204,327.746,0.5401,6.21E-03
9.36E-03,0.391074,0.0223094,335.151,20,-72.4029,-0.102357,20.0164,-473.411,335.151,0.529405,6.80E-03
