Filename,peo_su8_01_050_0
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,29/01/2020
Sample name,PEO_SU8_01_050_0
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
43.6470,7.18799e-3,364.695,6.81578,20.06,4760.41,6.72987,20.0234,9.21360e7,6.81578,2468.18,1.13294e-4
89.5486,8.36886e-3,340.712,18.5467,20.04,4214.91,5.95869,20.0127,6.01804e7,18.5467,5063.85,1.15884e-4
100.423,9.74374e-3,297.373,25.9523,20.03,3955.42,5.59184,20.0204,4.16621e7,25.9523,5678.79,1.44429e-4
99.9167,0.0113445,253.267,33.2923,20.03,3714.50,5.25125,20.0069,2.88623e7,33.2923,5650.15,1.66092e-4
97.5546,0.0132082,217.867,40.6324,20.02,3516.00,4.97063,20.0123,2.01540e7,40.6324,5516.58,1.80338e-4
95.6295,0.0153781,186.735,47.9724,20.02,3353.05,4.74026,20.0124,1.41786e7,47.9724,5407.72,1.96945e-4
93.4414,0.0179045,161.072,55.3124,20.01,3215.64,4.54601,20.0175,1.00310e7,55.3124,5283.99,2.15793e-4
91.8402,0.0208459,138.809,62.7180,20.00,3111.62,4.39894,20.0184,7160500,62.7180,5193.44,2.35702e-4
89.6256,0.0242706,120.168,70.1236,20.01,2974.82,4.20556,20.0137,5050100,70.1236,5068.21,2.59218e-4
88.3151,0.0282579,101.697,77.4636,20.01,2908.57,4.11190,20.0193,3642500,77.4636,4994.10,2.83472e-4
86.8858,0.0329002,85.7539,84.8036,20.00,2821.49,3.98879,20.0133,2606640,84.8036,4913.28,3.09710e-4
85.3678,0.0383052,73.2342,92.1436,20.00,2744.28,3.87964,20.0287,1870310,92.1436,4827.44,3.38358e-4
83.9953,0.0445982,63.9767,99.4837,20.00,2658.96,3.75902,20.0259,1336830,99.4837,4749.82,3.71053e-4
82.5239,0.0519250,55.9402,106.889,20.00,2600.42,3.67625,20.0265,964472,106.889,4666.62,4.06092e-4
81.0027,0.0604555,48.8245,114.295,20.00,2528.33,3.57434,20.0177,691771,114.295,4580.60,4.45685e-4
78.9424,0.0703874,42.5753,121.635,20.00,2450.37,3.46413,20.0230,494586,121.635,4464.09,4.87980e-4
76.6520,0.0819509,37.5322,128.975,20.00,2401.38,3.39487,20.0193,357563,128.975,4334.57,5.34712e-4
74.0572,0.0954142,32.7581,136.315,20.00,2343.85,3.31354,20.0135,257456,136.315,4187.83,5.85599e-4
72.1460,0.111089,28.5912,143.655,20.00,2300.15,3.25176,20.0167,186385,143.655,4079.76,6.39533e-4
71.1745,0.129340,24.8189,151.061,20.00,2269.04,3.20778,20.0260,135637,151.061,4024.83,6.99987e-4
70.6081,0.150588,21.5443,158.466,20.00,2233.10,3.15697,20.0259,98475.3,158.466,3992.79,7.66079e-4
70.1534,0.175327,18.8039,165.806,20.00,2202.74,3.11406,20.0253,71658.0,165.806,3967.08,8.39583e-4
69.5974,0.204131,16.4269,173.146,20.00,2170.12,3.06793,20.0179,52079.4,173.146,3935.64,9.18123e-4
69.4552,0.237667,14.4549,180.486,20.00,2146.82,3.03500,20.0219,38006.7,180.486,3927.60,1.00344e-3
69.2491,0.276712,12.5250,187.826,20.00,2123.83,3.00250,20.0159,27737.4,187.826,3915.94,1.10029e-3
68.8930,0.322171,10.8134,195.232,20.00,2085.93,2.94891,20.0093,20096.8,195.232,3895.80,1.20482e-3
68.5175,0.375099,9.40377,202.637,20.00,2053.79,2.90347,20.0210,14597.0,202.637,3874.57,1.32144e-3
68.2638,0.436722,8.07468,209.977,20.00,2023.87,2.86118,20.0156,10611.4,209.977,3860.23,1.44635e-3
67.8832,0.508468,6.94603,217.317,20.00,1985.52,2.80696,20.0116,7679.74,217.317,3838.70,1.58398e-3
67.3571,0.592002,5.88906,224.657,20.00,1959.32,2.76992,20.0254,5590.60,224.657,3808.96,1.73545e-3
66.8095,0.689259,5.05214,231.997,20.00,1920.70,2.71533,20.0233,4042.93,231.997,3777.99,1.89999e-3
66.5478,0.802493,4.32238,239.403,20.00,1903.40,2.69087,20.0169,2955.61,239.403,3763.19,2.08200e-3
66.0071,0.934331,3.69133,246.809,20.00,1868.71,2.64182,20.0257,2140.62,246.809,3732.62,2.28217e-3
65.8028,1.08783,3.19270,254.149,20.00,1849.29,2.61437,20.0205,1562.74,254.149,3721.06,2.49837e-3
65.1889,1.26654,2.75142,261.489,20.00,1814.76,2.56555,20.0266,1131.31,261.489,3686.35,2.73689e-3
64.8457,1.47461,2.69951,268.829,20.00,1790.82,2.53171,20.0211,823.562,268.829,3666.94,2.99593e-3
64.4163,1.71687,3.37432,276.169,20.00,1760.42,2.48873,20.0153,597.229,276.169,3642.66,3.28156e-3
63.9930,1.95789,3.22654,283.574,20.00,1736.92,2.45552,20.0221,453.111,283.574,3618.72,3.59562e-3
63.5440,2.11260,2.41089,290.980,20.00,1700.27,2.40370,20.0162,380.962,290.980,3593.33,3.94105e-3
63.0844,2.32732,1.82936,298.320,20.00,1679.83,2.37480,20.0205,310.137,298.320,3567.34,4.31588e-3
62.2398,2.63575,2.22700,305.660,20.00,1641.46,2.32056,20.0263,236.277,305.660,3519.58,4.72659e-3
61.5037,2.98506,2.61753,313.000,20.00,1613.21,2.28063,20.0276,181.045,313.000,3477.95,5.17443e-3
60.8213,3.47545,2.79418,320.340,20.00,1590.58,2.24864,20.0140,131.684,320.340,3439.36,5.66604e-3
60.3844,4.04642,2.69218,327.746,20.00,1560.87,2.20663,20.0317,95.3292,327.746,3414.66,6.21143e-3
59.2699,4.71118,2.47216,335.151,20.00,1530.73,2.16403,20.0269,68.9668,335.151,3351.63,6.80641e-3
58.1413,5.48516,2.10550,342.491,20.00,1502.78,2.12450,20.0265,49.9478,342.491,3287.81,7.45167e-3
57.4674,6.38628,1.87812,349.831,20.00,1481.96,2.09508,20.0306,36.3364,349.831,3249.70,8.16139e-3
56.0729,7.43545,1.87641,357.171,20.00,1453.66,2.05507,20.0224,26.2935,357.171,3170.85,8.93678e-3
54.5376,8.65698,1.67529,364.511,20.00,1392.97,1.96926,20.0202,18.5870,364.511,3084.03,9.78620e-3
53.3101,9.87228,1.35616,371.917,20.00,1354.60,1.91502,20.0216,13.8988,371.917,3014.61,0.0107235
52.2507,11.2582,1.10381,379.322,20.00,1316.39,1.86100,20.0216,10.3860,379.322,2954.71,0.0117522
51.0265,13.1077,1.01544,386.662,20.00,1267.79,1.79230,20.0312,7.37891,386.662,2885.48,0.0128686
49.7552,15.2611,0.769339,394.002,20.00,1232.27,1.74209,20.0200,5.29095,394.002,2813.59,0.0140918
48.4489,17.5243,0.675278,401.342,20.00,1188.70,1.68048,20.0167,3.87071,401.342,2739.72,0.0154288
48.0121,20.1231,0.514774,408.683,20.00,1161.79,1.64245,20.0195,2.86906,408.683,2715.02,0.0168939
47.3837,23.2676,0.414940,416.088,20.00,1130.28,1.59789,20.0215,2.08777,416.088,2679.48,0.0185141
46.3955,26.3511,0.354425,423.494,20.00,1081.50,1.52893,20.0255,1.55750,423.494,2623.60,0.0202895
46.0521,30.0504,0.310606,430.834,20.00,1069.17,1.51151,20.0296,1.18399,430.834,2604.18,0.0222164
46.6086,34.9872,0.251666,438.174,20.00,1106.15,1.56378,20.0334,0.903639,438.174,2635.65,0.0243269
54.2782,40.7351,0.224487,445.514,20.00,1359.31,1.92168,20.0241,0.819181,445.514,3069.36,0.0266219
