Filename,peo_su8_all_025
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,28/01/2020
Sample name,PEO_SU8_01_025
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
,6.01000e-3,30.2489,,,,,,,,,
17683.9,6.81000e-3,30.0000,1.00000,1.00,707.355,1.00000,1000000,1.52526e7,1.00000,1000000,1.00000
17683.9,7.38000e-3,22.7615,1.00000,1.00,707.355,1.00000,1000000,1.29875e7,1.00000,1000000,1.00000
17683.9,7.75000e-3,29.5027,1.00000,1.00,707.355,1.00000,1000000,1.17770e7,1.00000,1000000,1.00000
17683.9,8.24000e-3,21.9635,1.00000,1.00,707.355,1.00000,1000000,1.04180e7,1.00000,1000000,1.00000
17683.9,8.86000e-3,27.7220,1.00000,1.00,707.355,1.00000,1000000,9010940,1.00000,1000000,1.00000
17683.9,9.22000e-3,20.4903,1.00000,1.00,707.355,1.00000,1000000,8321000,1.00000,1000000,1.00000
17683.9,0.0101153,25.3831,1.00000,1.00,707.355,1.00000,1000000,6913210,1.00000,1000000,1.00000
17683.9,0.0103111,19.0181,1.00000,1.00,707.355,1.00000,1000000,6653160,1.00000,1000000,1.00000
17683.9,0.0115370,17.1805,1.00000,1.00,707.355,1.00000,1000000,5314370,1.00000,1000000,1.00000
17683.9,0.0115535,23.4141,1.00000,1.00,707.355,1.00000,1000000,5299200,1.00000,1000000,1.00000
17683.9,0.0129267,15.3739,1.00000,1.00,707.355,1.00000,1000000,4233140,1.00000,1000000,1.00000
17683.9,0.0131962,21.7179,1.00000,1.00,707.355,1.00000,1000000,4062000,1.00000,1000000,1.00000
17683.9,0.0144762,13.7327,1.00000,1.00,707.355,1.00000,1000000,3375430,1.00000,1000000,1.00000
17683.9,0.0150722,19.8856,1.00000,1.00,707.355,1.00000,1000000,3113750,1.00000,1000000,1.00000
17683.9,0.0161837,12.3072,1.00000,1.00,707.355,1.00000,1000000,2700730,1.00000,1000000,1.00000
17683.9,0.0172148,18.2079,1.00000,1.00,707.355,1.00000,1000000,2386900,1.00000,1000000,1.00000
17683.9,0.0181075,11.0474,1.00000,1.00,707.355,1.00000,1000000,2157350,1.00000,1000000,1.00000
17683.9,0.0196626,16.9097,1.00000,1.00,707.355,1.00000,1000000,1829600,1.00000,1000000,1.00000
17683.9,0.0202864,9.93591,1.00000,1.00,707.355,1.00000,1000000,1718810,1.00000,1000000,1.00000
17683.9,0.0224584,15.6847,1.00000,1.00,707.355,1.00000,1000000,1402430,1.00000,1000000,1.00000
17683.9,0.0227202,8.99211,1.00000,1.00,707.355,1.00000,1000000,1370290,1.00000,1000000,1.00000
17683.9,0.0254093,8.18237,1.00000,1.00,707.355,1.00000,1000000,1095600,1.00000,1000000,1.00000
17683.9,0.0256514,14.4591,1.00000,1.00,707.355,1.00000,1000000,1075020,1.00000,1000000,1.00000
17683.9,0.0284293,7.44653,1.00000,1.00,707.355,1.00000,1000000,875196,1.00000,1000000,1.00000
17683.9,0.0292983,13.3293,1.00000,1.00,707.355,1.00000,1000000,824049,1.00000,1000000,1.00000
17683.9,0.0318065,6.74768,1.00000,1.00,707.355,1.00000,1000000,699207,1.00000,1000000,1.00000
17683.9,0.0334638,12.2877,1.00000,1.00,707.355,1.00000,1000000,631665,1.00000,1000000,1.00000
