Filename,peo_su8_all_050
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,29/01/2020
Sample name,PEO_SU8_01_050_1
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
,5.91000e-3,575.091,,,,,,,,,
17683.9,7.10000e-3,504.525,1.00000,1.00,707.355,1.00000,1000000,1.40320e7,1.00000,1000000,1.00000
17683.9,7.19000e-3,364.695,1.00000,1.00,707.355,1.00000,1000000,1.36830e7,1.00000,1000000,1.00000
17683.9,7.45000e-3,604.204,1.00000,1.00,707.355,1.00000,1000000,1.27446e7,1.00000,1000000,1.00000
17683.9,8.24000e-3,578.744,1.00000,1.00,707.355,1.00000,1000000,1.04180e7,1.00000,1000000,1.00000
17683.9,8.27000e-3,538.328,1.00000,1.00,707.355,1.00000,1000000,1.03425e7,1.00000,1000000,1.00000
17683.9,8.37000e-3,340.712,1.00000,1.00,707.355,1.00000,1000000,1.00969e7,1.00000,1000000,1.00000
17683.9,9.23000e-3,553.618,1.00000,1.00,707.355,1.00000,1000000,8302980,1.00000,1000000,1.00000
17683.9,9.63000e-3,551.644,1.00000,1.00,707.355,1.00000,1000000,7627550,1.00000,1000000,1.00000
17683.9,9.74000e-3,297.373,1.00000,1.00,707.355,1.00000,1000000,7456240,1.00000,1000000,1.00000
17683.9,0.0103160,497.937,1.00000,1.00,707.355,1.00000,1000000,6646840,1.00000,1000000,1.00000
17683.9,0.0112085,553.722,1.00000,1.00,707.355,1.00000,1000000,5630440,1.00000,1000000,1.00000
17683.9,0.0113445,253.267,1.00000,1.00,707.355,1.00000,1000000,5496260,1.00000,1000000,1.00000
17683.9,0.0115334,443.081,1.00000,1.00,707.355,1.00000,1000000,5317690,1.00000,1000000,1.00000
17683.9,0.0129169,394.321,1.00000,1.00,707.355,1.00000,1000000,4239560,1.00000,1000000,1.00000
17683.9,0.0130488,546.484,1.00000,1.00,707.355,1.00000,1000000,4154290,1.00000,1000000,1.00000
17683.9,0.0132082,217.867,1.00000,1.00,707.355,1.00000,1000000,4054620,1.00000,1000000,1.00000
17683.9,0.0144718,351.760,1.00000,1.00,707.355,1.00000,1000000,3377480,1.00000,1000000,1.00000
17683.9,0.0151914,500.276,1.00000,1.00,707.355,1.00000,1000000,3065080,1.00000,1000000,1.00000
17683.9,0.0153781,186.735,1.00000,1.00,707.355,1.00000,1000000,2991110,1.00000,1000000,1.00000
17683.9,0.0161916,315.089,1.00000,1.00,707.355,1.00000,1000000,2698100,1.00000,1000000,1.00000
17683.9,0.0176857,432.457,1.00000,1.00,707.355,1.00000,1000000,2261480,1.00000,1000000,1.00000
17683.9,0.0179045,161.072,1.00000,1.00,707.355,1.00000,1000000,2206550,1.00000,1000000,1.00000
17683.9,0.0181128,282.886,1.00000,1.00,707.355,1.00000,1000000,2156090,1.00000,1000000,1.00000
17683.9,0.0202839,253.910,1.00000,1.00,707.355,1.00000,1000000,1719230,1.00000,1000000,1.00000
17683.9,0.0205896,375.593,1.00000,1.00,707.355,1.00000,1000000,1668560,1.00000,1000000,1.00000
17683.9,0.0208459,138.809,1.00000,1.00,707.355,1.00000,1000000,1627780,1.00000,1000000,1.00000
17683.9,0.0227253,228.282,1.00000,1.00,707.355,1.00000,1000000,1369680,1.00000,1000000,1.00000
17683.9,0.0239703,324.372,1.00000,1.00,707.355,1.00000,1000000,1231090,1.00000,1000000,1.00000
17683.9,0.0242706,120.168,1.00000,1.00,707.355,1.00000,1000000,1200820,1.00000,1000000,1.00000
17683.9,0.0254109,206.158,1.00000,1.00,707.355,1.00000,1000000,1095460,1.00000,1000000,1.00000
17683.9,0.0279061,279.347,1.00000,1.00,707.355,1.00000,1000000,908321,1.00000,1000000,1.00000
17683.9,0.0282579,101.697,1.00000,1.00,707.355,1.00000,1000000,885845,1.00000,1000000,1.00000
17683.9,0.0284309,186.152,1.00000,1.00,707.355,1.00000,1000000,875097,1.00000,1000000,1.00000
17683.9,0.0318048,168.205,1.00000,1.00,707.355,1.00000,1000000,699282,1.00000,1000000,1.00000
17683.9,0.0324881,243.301,1.00000,1.00,707.355,1.00000,1000000,670176,1.00000,1000000,1.00000
17683.9,0.0329002,85.7539,1.00000,1.00,707.355,1.00000,1000000,653492,1.00000,1000000,1.00000
17683.9,0.0356148,152.189,1.00000,1.00,707.355,1.00000,1000000,557669,1.00000,1000000,1.00000
17683.9,0.0378225,211.707,1.00000,1.00,707.355,1.00000,1000000,494467,1.00000,1000000,1.00000
17683.9,0.0383052,73.2342,1.00000,1.00,707.355,1.00000,1000000,482083,1.00000,1000000,1.00000
17683.9,0.0398845,138.092,1.00000,1.00,707.355,1.00000,1000000,444661,1.00000,1000000,1.00000
17683.9,0.0440327,181.125,1.00000,1.00,707.355,1.00000,1000000,364827,1.00000,1000000,1.00000
17683.9,0.0445982,63.9767,1.00000,1.00,707.355,1.00000,1000000,355634,1.00000,1000000,1.00000
17683.9,0.0446185,125.385,1.00000,1.00,707.355,1.00000,1000000,355310,1.00000,1000000,1.00000
17683.9,0.0499210,113.737,1.00000,1.00,707.355,1.00000,1000000,283838,1.00000,1000000,1.00000
17683.9,0.0512626,156.719,1.00000,1.00,707.355,1.00000,1000000,269176,1.00000,1000000,1.00000
17683.9,0.0519250,55.9402,1.00000,1.00,707.355,1.00000,1000000,262352,1.00000,1000000,1.00000
17683.9,0.0559144,102.997,1.00000,1.00,707.355,1.00000,1000000,226251,1.00000,1000000,1.00000
17683.9,0.0596797,136.240,1.00000,1.00,707.355,1.00000,1000000,198602,1.00000,1000000,1.00000
17683.9,0.0604555,48.8245,1.00000,1.00,707.355,1.00000,1000000,193538,1.00000,1000000,1.00000
17683.9,0.0625330,93.4779,1.00000,1.00,707.355,1.00000,1000000,180892,1.00000,1000000,1.00000
