Filename,ps_thf_01_1
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,18/12/2019
Sample name,PS_THF_01_1
Geometry name,60.0mm 0.996944° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
-0.217824,0.342120,-0.636690,3.75314,20.00,92.0554,0.130140,20.0154,786.490,3.75314,-12.3177,5.95287e-3
-2.25295e-3,6.88562e-3,-0.327196,11.1412,20.00,91.8584,0.129862,20.0176,1937460,11.1412,-0.127401,1.19810e-4
-2.12565e-3,7.54022e-3,-0.281908,18.5467,20.00,91.0251,0.128684,20.0177,1601010,18.5467,-0.120203,1.31200e-4
-2.00063e-3,8.27538e-3,-0.241757,25.9523,20.00,91.2829,0.129048,20.0158,1332950,25.9523,-0.113133,1.43991e-4
-2.09603e-3,9.08664e-3,-0.230672,33.2923,20.00,88.8580,0.125620,20.0214,1076190,33.2923,-0.118528,1.58107e-4
-2.09906e-3,9.90349e-3,-0.211952,40.6324,20.00,88.5377,0.125167,20.0300,902717,40.6324,-0.118699,1.72320e-4
-1.67846e-3,0.0108358,-0.154900,47.9724,20.00,87.8175,0.124149,20.0231,747932,47.9724,-0.0949144,1.88542e-4
-7.91101e-4,0.0118498,-0.0667605,55.3124,20.00,87.4747,0.123665,20.0191,622956,55.3124,-0.0447357,2.06187e-4
-1.08922e-4,0.0129753,-8.39458e-3,62.7180,20.00,86.0295,0.121621,20.0163,510992,62.7180,-6.15939e-3,2.25769e-4
5.67895e-4,0.0142449,0.0398665,70.1236,20.00,85.2884,0.120574,20.0117,420310,70.1236,0.0321137,2.47861e-4
1.20811e-3,0.0156448,0.0780378,77.4636,20.00,85.8535,0.121372,20.0357,350767,77.4636,0.0683172,2.72219e-4
1.76556e-3,0.0171395,0.100118,84.8036,20.00,84.7157,0.119764,20.0313,288381,84.8036,0.0998403,2.98227e-4
2.41816e-3,0.0187690,0.122672,92.1436,20.00,84.9497,0.120095,20.0251,241145,92.1436,0.136744,3.26581e-4
3.21960e-3,0.0205724,0.147406,99.4837,20.00,84.6837,0.119719,20.0233,200092,99.4837,0.182064,3.57959e-4
3.92583e-3,0.0225488,0.170245,106.889,20.00,84.1490,0.118963,20.0260,165502,106.889,0.222000,3.92348e-4
4.76070e-3,0.0247094,0.190251,114.295,20.00,83.8286,0.118510,20.0269,137300,114.295,0.269211,4.29942e-4
5.71551e-3,0.0270678,0.207061,121.635,20.00,83.7179,0.118353,20.0199,114265,121.635,0.323205,4.70978e-4
6.65571e-3,0.0296445,0.223381,128.975,20.00,81.9554,0.115862,20.0310,93258.7,128.975,0.376371,5.15813e-4
7.76708e-3,0.0324738,0.239410,136.315,20.00,82.3590,0.116432,20.0317,78099.0,136.315,0.439218,5.65043e-4
9.05962e-3,0.0355730,0.253866,143.655,20.00,81.9473,0.115850,20.0276,64758.2,143.655,0.512309,6.18968e-4
0.0106267,0.0389935,0.268202,151.061,20.00,82.4265,0.116528,20.0203,54210.4,151.061,0.600925,6.78485e-4
0.0121056,0.0427377,0.281560,158.466,20.00,82.7067,0.116924,20.0303,45281.3,158.466,0.684554,7.43634e-4
0.0138144,0.0468152,0.294502,165.806,20.00,81.8348,0.115691,20.0303,37339.1,165.806,0.781188,8.14583e-4
0.0156247,0.0512724,0.305039,173.146,20.00,82.1625,0.116154,20.0209,31254.1,173.146,0.883555,8.92137e-4
0.0179218,0.0561740,0.315517,180.486,20.00,82.3102,0.116363,20.0250,26084.6,180.486,1.01346,9.77425e-4
0.0199561,0.0614277,0.325237,187.826,20.00,81.7714,0.115602,20.0337,21670.7,187.826,1.12849,1.06884e-3
0.0225675,0.0673359,0.335132,195.232,20.00,81.4535,0.115152,20.0261,17964.5,195.232,1.27616,1.17164e-3
0.0254264,0.0738284,0.343641,202.637,20.00,82.1487,0.116135,20.0198,15071.4,202.637,1.43783,1.28461e-3
0.0285900,0.0808610,0.352406,209.977,20.00,81.7092,0.115514,20.0326,12496.6,209.977,1.61673,1.40698e-3
0.0319996,0.0885983,0.360169,217.317,20.00,81.7846,0.115620,20.0286,10418.9,217.317,1.80953,1.54161e-3
0.0357742,0.0970271,0.366817,224.657,20.00,81.3315,0.114980,20.0229,8639.19,224.657,2.02299,1.68827e-3
0.0397188,0.106287,0.372412,231.997,20.00,81.8159,0.115665,20.0161,7242.32,231.997,2.24605,1.84939e-3
0.0439831,0.116506,0.377153,239.403,20.00,81.2571,0.114875,20.0238,5986.37,239.403,2.48719,2.02720e-3
0.0487138,0.127714,0.380978,246.809,20.00,80.9061,0.114378,20.0198,4960.25,246.809,2.75470,2.22222e-3
0.0538118,0.139903,0.384096,254.149,20.00,80.4042,0.113669,20.0132,4107.95,254.149,3.04299,2.43431e-3
0.0594067,0.153232,0.386661,261.489,20.00,81.0549,0.114589,20.0271,3452.09,261.489,3.35937,2.66623e-3
0.0653368,0.167837,0.388610,268.829,20.00,80.8071,0.114238,20.0202,2868.64,268.829,3.69471,2.92035e-3
0.0717477,0.183815,0.389951,276.169,20.00,81.0893,0.114637,20.0102,2399.94,276.169,4.05724,3.19838e-3
0.0788228,0.201512,0.390431,283.574,20.00,80.5096,0.113818,20.0318,1982.65,283.574,4.45733,3.50630e-3
0.0864421,0.220893,0.389947,290.980,20.00,80.2387,0.113435,20.0289,1644.45,290.980,4.88818,3.84352e-3
0.0943671,0.241933,0.388522,298.320,20.00,80.9578,0.114451,20.0196,1383.15,298.320,5.33633,4.20962e-3
0.102525,0.264986,0.386242,305.660,20.00,80.3115,0.113538,20.0204,1143.75,305.660,5.79765,4.61075e-3
0.111223,0.290217,0.383327,313.000,20.00,79.8608,0.112901,20.0186,948.174,313.000,6.28949,5.04977e-3
0.120720,0.317850,0.380338,320.340,20.00,79.4393,0.112305,20.0222,786.306,320.340,6.82658,5.53057e-3
0.131278,0.348453,0.377536,327.746,20.00,79.5752,0.112497,20.0312,655.375,327.746,7.42362,6.06307e-3
0.143237,0.381940,0.375040,335.151,20.00,79.2519,0.112040,20.0272,543.276,335.151,8.09983,6.64573e-3
0.156007,0.418288,0.372579,342.491,20.00,79.3663,0.112201,20.0264,453.612,342.491,8.82196,7.27820e-3
0.169879,0.458161,0.370185,349.831,20.00,79.0933,0.111816,20.0220,376.793,349.831,9.60646,7.97199e-3
0.184380,0.501770,0.367777,357.171,20.00,78.7309,0.111303,20.0258,312.706,357.171,10.4265,8.73077e-3
0.200483,0.549585,0.365951,364.511,20.00,78.8173,0.111425,20.0334,260.946,364.511,11.3370,9.56277e-3
0.218648,0.602412,0.364680,371.917,20.00,79.2061,0.111975,20.0283,218.258,371.917,12.3643,0.0104820
0.240202,0.660308,0.363777,379.322,20.00,79.0056,0.111691,20.0339,181.202,379.322,13.5831,0.0114893
0.263571,0.723228,0.363164,386.662,20.00,78.4766,0.110944,20.0385,150.034,386.662,14.9046,0.0125841
