Filename,psb_nmp_00_14
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,12/12/2019
Sample name,OSKT 14_PSB_NMP
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
-0.0242262,6.02460e-3,-4.02121,3.53533,19.98,-12.6369,-0.0178650,20.0286,-348164,3.53533,-1.36996,1.04828e-4
7.26076e-4,7.32448e-3,0.0991300,10.5513,19.98,-13.4878,-0.0190679,20.0284,-251413,10.5513,0.0410586,1.27446e-4
9.19287e-4,8.22613e-3,0.114781,17.5637,19.99,-13.9202,-0.0196792,20.0326,-205710,17.5637,0.0519845,1.43134e-4
1.07687e-3,9.19863e-3,0.121189,24.5332,19.99,-14.3444,-0.0202789,20.0203,-169526,24.5332,0.0608956,1.60056e-4
1.33810e-3,0.0102961,0.127066,31.5228,19.99,-15.1577,-0.0214287,20.0260,-142984,31.5228,0.0756678,1.79152e-4
1.57343e-3,0.0115284,0.132420,38.4697,19.99,-16.1400,-0.0228174,20.0277,-121441,38.4697,0.0889751,2.00594e-4
1.86109e-3,0.0129055,0.137193,45.4820,20.00,-15.9851,-0.0225984,20.0315,-95976.6,45.4820,0.105242,2.24555e-4
2.16143e-3,0.0144624,0.141442,52.4944,19.99,-16.8625,-0.0238388,20.0309,-80620.3,52.4944,0.122226,2.51645e-4
2.46958e-3,0.0161740,0.145084,59.4412,20.00,-16.9465,-0.0239576,20.0332,-64781.0,59.4412,0.139651,2.81426e-4
2.81788e-3,0.0180956,0.148325,66.3880,20.00,-17.4676,-0.0246942,20.0309,-53344.0,66.3880,0.159348,3.14863e-4
3.23471e-3,0.0202731,0.152482,73.4004,20.00,-17.3965,-0.0245938,20.0207,-42327.4,73.4004,0.182918,3.52752e-4
3.68405e-3,0.0227091,0.156332,80.4127,20.00,-18.0094,-0.0254602,20.0273,-34922.0,80.4127,0.208328,3.95137e-4
4.15382e-3,0.0253956,0.159244,87.3595,20.00,-18.5019,-0.0261564,20.0271,-28688.0,87.3595,0.234893,4.41882e-4
4.65297e-3,0.0284149,0.161890,94.3063,20.00,-17.7943,-0.0251561,20.0345,-22038.9,94.3063,0.263119,4.94418e-4
5.22966e-3,0.0317959,0.164104,101.253,20.00,-18.7266,-0.0264741,20.0312,-18523.3,101.253,0.295730,5.53247e-4
5.86584e-3,0.0356049,0.165995,108.266,20.00,-19.3470,-0.0273512,20.0333,-15261.4,108.266,0.331706,6.19524e-4
6.61678e-3,0.0398815,0.167654,115.278,20.00,-19.3611,-0.0273712,20.0352,-12172.7,115.278,0.374170,6.93937e-4
7.52524e-3,0.0446130,0.169151,122.225,20.00,-19.4483,-0.0274943,20.0256,-9771.42,122.225,0.425542,7.76265e-4
8.48260e-3,0.0499110,0.170409,129.171,20.00,-19.8754,-0.0280982,20.0195,-7978.53,129.171,0.479679,8.68450e-4
9.60229e-3,0.0558969,0.171506,136.184,20.00,-20.5694,-0.0290793,20.0248,-6583.33,136.184,0.542997,9.72604e-4
0.0109330,0.0625234,0.172531,143.196,20.00,-20.0346,-0.0283233,20.0298,-5125.03,143.196,0.618245,1.08790e-3
0.0123732,0.0699592,0.173548,150.143,20.00,-19.5286,-0.0276079,20.0310,-3990.08,150.143,0.699687,1.21729e-3
0.0138799,0.0782703,0.174605,157.090,20.00,-20.4874,-0.0289633,20.0334,-3344.20,157.090,0.784888,1.36190e-3
0.0155082,0.0875781,0.175654,164.037,20.00,-20.1318,-0.0284607,20.0322,-2624.77,164.037,0.876968,1.52386e-3
0.0174647,0.0980813,0.176625,171.049,20.00,-20.5951,-0.0291156,20.0343,-2140.87,171.049,0.987603,1.70661e-3
0.0195936,0.109836,0.177335,178.061,20.00,-20.2756,-0.0286639,20.0402,-1680.67,178.061,1.10799,1.91115e-3
0.0219478,0.122951,0.177820,185.008,20.00,-18.8736,-0.0266819,20.0379,-1248.51,185.008,1.24112,2.13934e-3
0.0246128,0.137538,0.178003,191.955,20.00,-20.4544,-0.0289167,20.0369,-1081.29,191.955,1.39182,2.39316e-3
0.0275531,0.154019,0.177673,198.967,20.00,-19.6803,-0.0278224,20.0306,-829.629,198.967,1.55809,2.67992e-3
0.0310927,0.172520,0.176960,205.980,20.00,-19.7479,-0.0279180,20.0258,-663.503,205.980,1.75825,3.00184e-3
0.0347925,0.193000,0.176071,212.926,20.00,-20.8780,-0.0295155,20.0396,-560.496,212.926,1.96747,3.35820e-3
0.0388937,0.215943,0.175103,219.873,20.00,-20.6403,-0.0291795,20.0344,-442.627,219.873,2.19939,3.75740e-3
0.0433049,0.241794,0.173983,226.886,20.00,-19.2706,-0.0272432,20.0231,-329.613,226.886,2.44884,4.20721e-3
0.0479619,0.270891,0.172690,233.898,20.00,-20.3406,-0.0287558,20.0276,-277.189,233.898,2.71218,4.71349e-3
0.0528623,0.302988,0.171255,240.845,20.00,-20.0518,-0.0283476,20.0285,-218.426,240.845,2.98929,5.27198e-3
0.0576379,0.338937,0.169716,247.792,20.00,-19.7650,-0.0279421,20.0277,-172.052,247.792,3.25934,5.89748e-3
0.0631630,0.379234,0.168134,254.738,20.00,-19.9954,-0.0282678,20.0257,-139.032,254.738,3.57178,6.59867e-3
0.0698281,0.424711,0.166347,261.751,20.00,-20.5181,-0.0290068,20.0290,-113.750,261.751,3.94869,7.38996e-3
0.0775211,0.475727,0.164414,268.763,20.00,-20.4461,-0.0289050,20.0233,-90.3432,268.763,4.38372,8.27763e-3
0.0860795,0.532107,0.162447,275.710,20.00,-20.5239,-0.0290150,20.0226,-72.4874,275.710,4.86768,9.25864e-3
0.0950706,0.595274,0.160690,282.657,20.00,-20.7348,-0.0293131,20.0307,-58.5148,282.657,5.37611,0.0103578
0.104905,0.666628,0.159272,289.669,20.00,-21.0716,-0.0297893,20.0323,-47.4165,289.669,5.93226,0.0115993
0.116583,0.746705,0.158028,296.681,20.00,-20.7885,-0.0293891,20.0321,-37.2842,296.681,6.59261,0.0129926
0.129761,0.835263,0.157100,303.628,20.00,-20.8799,-0.0295183,20.0193,-29.9283,303.628,7.33783,0.0145335
0.143594,0.934251,0.156400,310.575,20.00,-20.7968,-0.0294008,20.0337,-23.8270,310.575,8.12006,0.0162559
0.158506,1.04646,0.155893,317.587,20.00,-20.4564,-0.0289196,20.0291,-18.6804,317.587,8.96329,0.0182083
0.176003,1.17204,0.155437,324.600,20.00,-21.0813,-0.0298030,20.0245,-15.3465,324.600,9.95276,0.0203935
0.199297,1.31096,0.155055,331.547,20.00,-20.9647,-0.0296381,20.0214,-12.1987,331.547,11.2700,0.0228106
