Filename,psb_thfdmf_00_6
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,11/12/2019
Sample name,OSKT 6_PSB_THFDMF
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
8.01506e-5,6.30331e-3,0.0127156,3.59091,20.00,-27.3491,-0.0386638,20.0303,-688344,3.59091,4.53241e-3,1.09677e-4
-5.17063e-4,7.36468e-3,-0.0702085,10.5094,20.00,-29.2338,-0.0413283,20.0279,-538985,10.5094,-0.0292392,1.28145e-4
-2.96842e-4,8.20604e-3,-0.0361736,17.5637,20.00,-30.1716,-0.0426541,20.0293,-448055,17.5637,-0.0167860,1.42785e-4
-3.40625e-4,9.19263e-3,-0.0370542,24.5760,20.00,-31.2073,-0.0441183,20.0189,-369298,24.5760,-0.0192619,1.59951e-4
-4.96704e-5,0.0103519,-4.79817e-3,31.5228,20.00,-32.3186,-0.0456893,20.0135,-301585,31.5228,-2.80880e-3,1.80123e-4
-3.24717e-4,0.0115151,-0.0281992,38.4697,20.00,-33.5579,-0.0474414,20.0122,-253080,38.4697,-0.0183623,2.00363e-4
2.38702e-4,0.0128831,0.0185283,45.4820,20.00,-34.3162,-0.0485133,20.0153,-206757,45.4820,0.0134983,2.24165e-4
4.82923e-4,0.0144595,0.0333983,52.4944,20.00,-35.2967,-0.0498995,20.0258,-168821,52.4944,0.0273087,2.51595e-4
5.56282e-4,0.0161833,0.0327070,59.4412,20.00,-35.8366,-0.0506628,20.0298,-136834,59.4412,0.0314570,2.81589e-4
5.83933e-4,0.0181078,0.0316919,66.3880,20.00,-36.7089,-0.0518959,20.0296,-111954,66.3880,0.0330206,3.15075e-4
7.09497e-4,0.0202737,0.0314199,73.4004,20.00,-37.0813,-0.0524225,20.0328,-90217.2,73.4004,0.0401211,3.52762e-4
7.85207e-4,0.0227202,0.0313773,80.4127,20.00,-38.1749,-0.0539685,20.0223,-73952.5,80.4127,0.0444024,3.95331e-4
7.25786e-4,0.0254207,0.0314952,87.3595,20.00,-38.5486,-0.0544968,20.0324,-59653.2,87.3595,0.0410422,4.42319e-4
6.49151e-4,0.0284181,0.0316367,94.3063,20.00,-39.4249,-0.0557357,20.0278,-48818.2,94.3063,0.0367086,4.94473e-4
9.46439e-4,0.0318151,0.0317123,101.253,20.00,-39.3978,-0.0556973,20.0172,-38922.9,101.253,0.0535199,5.53582e-4
1.01957e-3,0.0356217,0.0316717,108.266,20.00,-40.3785,-0.0570837,20.0268,-31821.5,108.266,0.0576555,6.19817e-4
1.30878e-3,0.0398862,0.0314177,115.278,20.00,-41.7803,-0.0590656,20.0144,-26261.9,115.278,0.0740100,6.94019e-4
1.44367e-3,0.0446291,0.0310042,122.225,20.00,-43.4218,-0.0613862,20.0122,-21800.8,122.225,0.0816377,7.76544e-4
1.76889e-3,0.0499221,0.0303287,129.171,20.00,-43.7462,-0.0618447,20.0093,-17553.1,129.171,0.100028,8.68643e-4
1.90067e-3,0.0559127,0.0295389,136.184,20.00,-44.6690,-0.0631493,20.0096,-14288.4,136.184,0.107481,9.72879e-4
2.17209e-3,0.0625255,0.0282192,143.196,20.00,-46.4343,-0.0656449,20.0200,-11877.5,143.196,0.122829,1.08794e-3
2.38021e-3,0.0699789,0.0264127,150.143,20.00,-46.9789,-0.0664149,20.0290,-9593.33,150.143,0.134598,1.21763e-3
2.52182e-3,0.0782793,0.0243050,157.090,20.00,-47.6311,-0.0673368,20.0281,-7773.14,157.090,0.142606,1.36206e-3
2.70912e-3,0.0875910,0.0217735,164.037,20.00,-48.4979,-0.0685623,20.0260,-6321.27,164.037,0.153197,1.52408e-3
2.88057e-3,0.0981125,0.0173305,171.049,20.00,-49.7625,-0.0703501,20.0334,-5169.56,171.049,0.162892,1.70715e-3
2.90417e-3,0.109860,0.0146525,178.061,20.00,-50.3728,-0.0712128,20.0279,-4173.69,178.061,0.164227,1.91155e-3
