Filename,psb_thfdmf_01_8
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,19/12/2019
Sample name,PSB_THFDMF_01_8
Geometry name,60.0mm 0.996944° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
-0.798921,0.612541,-1.30427,4.83472,19.98,35.7101,0.0504840,20.0225,95.1748,4.83472,-45.1779,0.0106582
0.0111562,6.87977e-3,1.62160,11.1412,19.98,35.7315,0.0505142,20.0282,754925,11.1412,0.630869,1.19708e-4
0.0116536,7.54220e-3,1.54512,18.5467,19.99,35.1076,0.0496322,20.0188,617170,18.5467,0.658997,1.31234e-4
0.0121633,8.27162e-3,1.47049,25.9523,19.99,36.3225,0.0513497,20.0257,530877,25.9523,0.687821,1.43926e-4
0.0125840,9.05917e-3,1.38909,33.2923,19.99,34.9533,0.0494141,20.0225,425904,33.2923,0.711608,1.57629e-4
0.0131259,9.91657e-3,1.32363,40.6324,20.00,34.1209,0.0482373,20.0264,346974,40.6324,0.742250,1.72548e-4
0.0135806,0.0108650,1.24994,47.9724,19.99,35.2424,0.0498227,20.0278,298540,47.9724,0.767966,1.89051e-4
0.0141278,0.0118992,1.18730,55.3124,20.00,34.5991,0.0489133,20.0371,244360,55.3124,0.798911,2.07045e-4
0.0146427,0.0130454,1.12244,62.7180,20.00,34.2565,0.0484289,20.0255,201291,62.7180,0.828024,2.26990e-4
0.0153332,0.0143013,1.07215,70.1236,20.00,34.8223,0.0492289,20.0298,170257,70.1236,0.867073,2.48843e-4
0.0159883,0.0156592,1.02102,77.4636,20.01,35.2075,0.0497735,20.0281,143581,77.4636,0.904119,2.72469e-4
0.0167547,0.0171552,0.976653,84.8036,20.00,35.0555,0.0495586,20.0301,119114,84.8036,0.947457,2.98501e-4
0.0175283,0.0187888,0.932911,92.1436,20.00,34.0476,0.0481336,20.0238,96446.8,92.1436,0.991201,3.26925e-4
0.0184276,0.0205768,0.895552,99.4837,20.00,34.0977,0.0482044,20.0137,80532.2,99.4837,1.04205,3.58035e-4
0.0193802,0.0225526,0.859334,106.889,20.00,33.7998,0.0477833,20.0263,66453.7,106.889,1.09593,3.92415e-4
0.0204703,0.0247226,0.828001,114.295,20.00,33.5755,0.0474663,20.0267,54933.3,114.295,1.15757,4.30172e-4
0.0216150,0.0270783,0.798242,121.635,20.00,33.9542,0.0480016,20.0299,46307.4,121.635,1.22230,4.71161e-4
0.0228742,0.0296616,0.771172,128.975,20.00,33.2050,0.0469425,20.0253,37741.0,128.975,1.29351,5.16111e-4
0.0242001,0.0324804,0.745068,136.315,20.00,33.2549,0.0470130,20.0140,31521.9,136.315,1.36848,5.65158e-4
0.0258918,0.0355808,0.727690,143.655,20.00,32.5461,0.0460109,20.0262,25707.9,143.655,1.46415,6.19105e-4
0.0276265,0.0390032,0.708314,151.061,20.00,33.6130,0.0475192,20.0154,22095.6,151.061,1.56224,6.78654e-4
0.0294774,0.0427528,0.689485,158.466,20.00,32.8896,0.0464965,20.0217,17994.0,158.466,1.66691,7.43898e-4
0.0314175,0.0468324,0.670849,165.806,20.00,32.8031,0.0463743,20.0271,14956.2,165.806,1.77662,8.14883e-4
