Filename,psms_dmf_00_8
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,13/12/2019
Sample name,_8_PSMS_DMF
Geometry name,60.0mm 0.996944° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
9.65032e-3,6.04487e-3,1.59645,5.13973,19.99,-79.2901,-0.112094,20.0351,-2169930,5.13973,0.545712,1.05180e-4
9.43345e-3,6.88066e-3,1.36542,12.7140,19.99,-80.2883,-0.113505,20.0332,-1695870,12.7140,0.533449,1.19723e-4
9.39412e-3,7.54056e-3,1.23510,21.1682,20.00,-81.2917,-0.114923,20.0296,-1429680,21.1682,0.531225,1.31205e-4
9.10366e-3,8.25588e-3,1.11786,29.6223,20.00,-82.1069,-0.116076,20.0386,-1204630,29.6223,0.514800,1.43652e-4
9.04441e-3,9.04310e-3,1.01294,38.0109,20.00,-82.8283,-0.117096,20.0237,-1012850,38.0109,0.511449,1.57350e-4
9.14437e-3,9.90578e-3,0.922057,46.3995,20.00,-83.8678,-0.118565,20.0258,-854708,46.3995,0.517102,1.72360e-4
9.02197e-3,0.0108494,0.845030,54.7881,20.00,-83.8636,-0.118559,20.0380,-712460,54.7881,0.510180,1.88780e-4
8.88514e-3,0.0118714,0.775131,63.1767,20.00,-84.1728,-0.118996,20.0294,-597264,63.1767,0.502443,2.06562e-4
8.86911e-3,0.0130068,0.712123,71.6309,20.00,-84.7587,-0.119825,20.0192,-501008,71.6309,0.501536,2.26318e-4
8.99768e-3,0.0142479,0.654138,80.0850,20.00,-84.7927,-0.119873,20.0303,-417690,80.0850,0.508807,2.47914e-4
9.28621e-3,0.0155902,0.598467,88.4736,20.00,-68.6094,-0.0969943,20.0329,-282280,88.4736,0.525123,2.71269e-4
9.70458e-3,0.0170764,0.546686,96.8622,20.00,-70.8747,-0.100197,20.0351,-243053,96.8622,0.548781,2.97128e-4
9.82528e-3,0.0186991,0.500016,105.251,20.00,-72.8479,-0.102986,20.0219,-208341,105.251,0.555606,3.25364e-4
0.0100926,0.0204742,0.457654,113.639,20.00,-74.1433,-0.104818,20.0227,-176872,113.639,0.570722,3.56249e-4
9.74465e-3,0.0224603,0.416431,122.094,20.00,-74.3685,-0.105136,20.0289,-147421,122.094,0.551047,3.90808e-4
